Type,insert_url,external_link,key_words
program,/programs/startup-huddle,https://www.genglobal.org/startup-huddle,
program,/programs/global-entrepreneurship-week,https://www.genglobal.org/gew,
program,/programs/young-entrepreneurs-alliance,https://www.g20yea.com/,
program,/programs/dynamic-entrepreneurship-classroom,,
program,/programs/scaleup-acceleration-program,,
program,/programs/scaleup-club,,
program,/programs/startup-club,,
program,/programs/fasttrac,https://www.fasttrac.org,
program_category,/categories/acceleration-programs,,
program_category,/categories/startup-programs,,
program_category,/categories/educational-programs,,
program_category,/categories/ecosystem-programs,,
goals,/goals/launch-startup,,
goals,/goals/grow-existing-business,,
goals,/goals/support-entrepreneurship,,
goals,/goals/launch-startup,,
goals,/goals/mentor-business,,
