Input URL,Resulting URL,Date and Time
https://web.archive.org/web/20040331025033/http://www.cfe.ru/eng/about/?fid=47,https://cfeglobal.org/blog/cfe-announces-new-board-members-2003-03-17.html,2024-06-12 17:10:36
https://web.archive.org/web/20031231140543/http://www.cfe.ru/eng/news/?nid=22,https://cfeglobal.org/blog/young-entrepreneurs-conference-2003-10-24.html,2024-06-12 17:23:01
https://web.archive.org/web/20031023093459/http://www.cfe.ru/eng/news/?nid=18,https://cfeglobal.org/blog/center-for-entrepreneurship-launches-peer-learning-program-2003-06-21.html,2024-06-12 17:35:21
https://www.raysmilor.com/about,https://cfeglobal.org/blog/center-for-entrepreneurship-launches-peer-learning-program-2003-06-21.html,2024-06-12 19:22:20
https://www.raysmilor.com/about,https://cfeglobal.org/people/ray-smilor.html,2024-06-12 19:25:27
https://www.iticnet.org/blake-marshall,https://cfeglobal.org/people/blake-marshall.html,2024-06-13 14:46:51
https://www.iticnet.org/blake-marshall,https://cfeglobal.org/people/blake-marshall.html,2024-06-13 16:56:47
https://www.iticnet.org/blake-marshall,https://cfeglobal.org/people/blake-marshall.html,2024-06-13 17:15:54
https://www.iticnet.org/blake-marshall,https://cfeglobal.org/people/blake-marshall.html,2024-06-13 17:34:08
https://www.iticnet.org/blake-marshall,https://cfeglobal.org/people/blake-marshall.html,2024-06-13 17:42:04
https://www.iticnet.org/blake-marshall,https://cfeglobal.org/people/blake-marshall.html,2024-06-13 17:48:30
